Name	Lat	Lon
hbtka	6.883134	0.483542
udgbw	0.670602	4.832550
chgxy	6.015099	0.815494
xfecc	7.040490	5.770634
vaqrc	4.302328	9.509389
drajt	0.695505	9.228934
ewtba	9.395903	9.350235
fxuec	4.056927	6.944372
vtfhh	6.378780	4.775771
kwreg	5.380478	8.162990
almey	8.085508	9.686326
bhamp	8.288355	3.128357
bfqvx	6.765234	2.382148
ombtx	2.766561	3.285700
msxuk	7.915596	7.584811
tbuvs	4.713676	7.425758
bvhhm	1.358219	2.756075
lutby	9.717733	7.593843
oriyj	6.888248	5.933652
ijbxm	2.559203	0.790894
vcjru	8.384537	2.522067
mhdop	3.006993	8.909562
ayvbb	0.894695	8.526858
mdwfo	1.669415	7.134627
drtbb	7.711109	7.862659
cbjuj	5.424109	0.604833
smpfe	3.651213	3.001943
iguds	5.868326	5.943706
wwopn	7.743354	8.959228
iufrr	9.739571	2.558442
crwob	8.961034	2.976674
oqhvj	1.108682	8.092527
coapt	1.044748	3.614033
xqyhc	0.214862	9.081943
dujyj	2.001752	1.191884
vhoay	0.540751	3.440265
ntfyt	9.193653	8.405973
iyrfp	7.516190	7.730560
yhubv	5.112690	4.603743
oifdn	9.834031	8.986722
aesmj	6.100815	0.560844
dlapp	3.078440	6.399303
huyak	6.504464	9.349468
xnled	6.082314	0.530498
lkane	2.840660	5.451469
ayjbi	4.429541	2.970455
rlroh	4.631742	7.301995
ofoml	1.336355	5.684021
dekot	7.266425	0.122405
abqpt	1.830548	6.796682
