
Name	VeloLon	VeloLat
eoain	0.030844	-0.005370
wflbs	0.011874	-0.002279
qfoie	-0.103837	0.009022
tonqh	0.013549	-0.022359
lqtyq	0.005970	0.019213
ecfwy	-0.006238	-0.002666
xqoli	-0.120328	0.279990
tvwbr	0.000519	0.005368
stglj	0.000141	-0.013548
lyhvf	-0.016886	-0.019628
teuvx	0.021019	0.019288
dtxyg	-0.009785	0.003958
uvdsh	-0.017626	0.014121
htaow	0.021403	0.005641
asxai	0.010244	-0.011551
sjetp	-0.004787	0.006070
uequb	0.016846	0.011100
xxxko	0.003374	-0.025838
csmbp	0.000869	0.004665
xthon	0.011848	-0.028763
dtsrg	0.048893	-0.001550
qasvh	0.004982	0.002339
yxyia	0.015825	-0.008258
ytnda	0.031480	-0.004844
thsvv	0.006138	-0.024243
ageie	-0.036003	-0.007750
htvrk	0.001194	-0.005090
xjgfs	-0.005633	-0.007867
biuvm	0.023360	0.057757
wtarx	0.005137	0.005979
tkbad	-0.010061	-0.007790
otjpd	-0.046395	0.001638
duwwr	0.052589	-0.421117
enhap	-0.000812	-0.001188
ixkgl	0.003347	-0.007046
kwmgq	-0.013399	-0.036384
tdsdx	-0.000554	-0.012610
fhjdo	0.016063	0.000896
dstrt	0.584011	-0.122922
faaog	-0.071346	-0.032412
qtgnu	0.000096	-0.000337
oixxe	-0.283726	0.206836
gobfq	-0.023451	0.022183
yhxfd	0.006963	-0.015171
avwpg	0.003503	0.000393
yufol	0.003894	0.003349
idymo	0.003275	-0.028116
sojlp	-0.075232	-0.078306
pluqq	-0.003341	0.006292
ekslj	0.008200	-0.016492
