Name	Lat	Lon
kegeu	6.664395	0.980345
dxaae	3.159448	8.486533
iuhnn	6.058592	0.848221
kuuiq	3.568614	6.751566
bfvqa	1.961445	7.701075
kbwqn	3.958752	6.011421
qvgnq	4.235225	4.743514
rylhk	6.864577	1.425410
gwdvh	5.675834	2.937804
gtity	1.860715	3.748549
vhltu	3.717964	3.034076
mmigs	6.955930	7.813825
qapwr	5.038908	8.308743
hgvyv	2.407853	8.928566
knyvu	3.914051	8.783478
jyiqo	0.808030	3.457536
weupn	8.957192	0.561609
eqirs	5.941210	3.523885
irffl	3.245361	3.921178
fqkog	6.273370	4.785879
dcefw	3.046528	6.521869
qhksm	3.292234	2.990617
evxde	1.405801	2.576391
pwndt	2.764243	7.289984
gjuba	4.359648	8.629997
dyvum	8.720043	2.607171
nhwus	8.283374	7.763925
nrwgf	2.053287	8.661989
bonwr	5.161850	9.589169
lmsvw	9.897199	5.220438
yyjkw	9.853040	2.227634
tehec	3.858690	0.036524
lwxsp	4.096611	3.005539
blhog	2.453235	1.742872
oxvcb	8.948060	1.523112
fvhjy	9.423981	0.042210
fyhbr	8.892232	8.844463
spgla	2.703759	1.735747
mkewq	5.702378	2.080425
jtjjh	0.460802	9.863180
fncok	0.039795	4.695070
ydkev	4.636227	8.841830
qnonn	8.620183	1.059000
smxva	0.821966	9.419933
dkoix	5.858155	4.783475
mfpul	2.274819	8.014653
kdsho	3.933582	2.882366
hdorp	3.948561	1.717377
dorcu	9.710431	3.469371
drcyj	7.301532	3.209216
