
Name	VeloLon	VeloLat
kuyvg	-0.016415	0.003810
nuyyh	0.073909	-0.079252
dgwkk	0.015046	-0.024442
vtudk	-0.006393	-0.019446
vebwm	0.021373	0.040757
vuylj	-0.002854	-0.000759
wonkj	0.003854	0.016229
seehi	-0.080059	0.015241
nwyoj	0.021812	-0.084391
ayrxq	-0.084674	-0.073230
ovsxs	0.119060	-0.021977
abrmp	-0.010448	-0.013099
wlbxr	-1.191540	-0.892113
vnpcp	0.161759	-0.047201
vidcg	-0.770484	-1.889779
bcfje	0.013524	0.014905
muuow	-0.018395	0.119179
jjerc	-0.015319	0.010389
ssdqq	-0.018543	-0.046239
rlwsb	0.000825	0.035697
lqipk	0.006172	0.005603
vwkbb	-0.098744	0.010532
hogmj	-0.008650	0.015938
ckxyk	-0.098858	-0.072721
anuva	-0.096444	-0.066589
ycdfn	0.015660	-0.003884
wjktn	-0.031027	-0.005738
igklr	0.001951	0.010014
grvkr	-0.101619	0.070518
gabdl	-0.000585	-0.003713
qcaux	0.130895	-0.010256
yujjr	-0.056392	0.032234
slsdp	0.117232	0.002279
hgurb	0.002909	-0.014416
fhppu	-0.058313	0.011404
dduyq	-0.017925	0.006877
dqwht	0.022332	0.000643
domsm	-0.072304	-0.088732
bvjmj	-0.087785	-0.028620
bwobw	-0.033642	0.019900
ejcrw	0.037996	-0.008031
dlvuq	-0.096909	-0.050665
vwgjw	0.072336	0.004828
octoa	0.001871	-0.066714
mvgft	0.049262	-0.106497
beofr	-0.033238	-0.117039
wmbug	-0.067817	0.071323
hngsb	0.030374	0.019343
mggrs	0.009524	0.009171
nrpeo	0.012686	0.012455
