Name	Lat	Lon
dbtpv	2.549573	4.581576
okvbf	8.986547	0.681203
ainyk	3.620958	6.900317
krqan	1.397351	7.445790
inywn	2.498473	5.279497
frpkf	8.091380	1.830076
bjico	5.819426	1.824586
hnxas	9.743385	7.086913
atsvs	7.946364	7.069551
ujvof	7.566549	4.537845
jxlog	4.457304	0.989734
yktiy	0.983948	3.909739
bgqvk	9.269125	7.213022
evdjw	3.007346	6.178557
jodsi	2.307001	4.463159
oydfg	7.794479	3.771512
fdtqw	8.253939	1.812236
ctmnc	4.311854	3.946231
gobxv	8.212785	9.325770
mkvpw	3.186540	2.269482
fvaej	0.689190	6.174254
rwtci	7.336216	3.208624
lbjkm	8.035275	9.784497
petpd	0.945840	8.863625
lqbdl	8.147074	6.725659
pyyqx	6.296113	7.865550
dnlri	7.479551	8.778335
ywgwc	8.073655	8.809905
xyglu	2.259540	3.918145
gsxwn	4.729291	6.080486
vrhvq	6.946338	5.199438
olsrs	5.494551	7.096180
ykrdi	3.454409	6.914586
oejlh	2.460186	8.256230
jixnq	0.896558	8.344196
thqas	6.483149	8.444486
vxcaq	5.082876	2.290420
qsdyj	4.786566	7.904134
mogcc	2.682928	7.811786
tsqsd	0.880111	1.973040
nudjt	4.104795	2.030351
bpcaj	7.542063	9.283486
wuclc	6.366483	9.455368
mvxsd	8.164511	1.472491
wuntl	7.426475	0.929817
ucitu	5.657023	6.771920
racqa	9.025100	7.590232
peptv	0.731211	4.855758
cwdnl	1.237468	9.469342
gnsss	2.560701	8.117603
