
Name	VeloLon	VeloLat
qpbti	0.245718	-0.026020
rwnxd	-0.073735	0.080306
hnbvg	-0.167778	0.074155
hachg	-0.070438	-0.062170
evncn	-0.000532	-0.068202
wpnxh	0.060582	0.157296
tppvh	0.038131	0.175263
qbonk	0.055499	-0.024057
fwlue	-0.056945	-0.011486
knqgg	-0.163579	0.412950
phngv	0.006109	-0.157211
bfgxo	-0.064800	0.044866
tbfyy	-0.046340	-0.004867
hkhae	-0.175237	-0.041758
rpocn	-0.129057	-0.007968
afscc	-0.001130	-0.196294
aacme	-0.028684	0.092743
jreyh	-0.014801	-0.015549
dicjw	0.005177	0.247565
nxldm	0.053293	-0.013613
gehuj	0.025433	0.054976
aglpu	0.148933	-0.114244
dfgie	0.097498	-0.104051
ecslj	0.007263	-0.030755
iawtk	-0.015717	0.005231
lfyjs	-0.104301	0.447575
ettal	0.128824	0.014092
ndjts	-0.078376	-0.135330
qoptt	-0.031190	0.026981
kxxov	0.040093	0.061491
ekndo	-0.080660	-0.107773
xkeos	-0.070120	-0.033686
ivjqt	0.030003	-0.100032
faath	-0.040334	0.478931
qfwaw	-0.031630	-0.094646
hjueb	-0.006399	-0.153309
rlqsk	-0.000738	-0.028700
lwnis	-0.088059	0.001681
pcbac	0.075983	0.089119
khrrg	0.037471	0.089864
vmuje	0.057730	-0.039842
ebwab	0.007627	-0.371562
ktpho	-0.261288	0.006429
ujdua	0.052570	-0.058215
ncdnx	-0.000917	-0.037111
alcjv	-0.043455	0.163856
tnsuf	-0.078701	0.186166
swkvp	0.205013	-0.218076
xfiig	-0.052046	0.047536
hyhlc	0.121636	0.111727
