Name	Lat	Lon
drmee	1.995911	3.764622
vhual	9.687007	5.275759
utave	6.905465	9.526799
vqquh	8.423506	0.152819
dmeda	7.530602	3.861934
qirfb	3.125753	6.820558
kcpyh	5.623405	4.538325
isqaq	2.356238	2.565738
hwoou	8.216502	1.288048
oofsw	9.349287	4.747388
cmsse	4.692334	3.461337
jydrv	8.520673	4.064885
hucwn	5.070035	6.955737
patpq	4.334135	2.071419
xjhyt	9.045292	3.810260
gcaxy	5.454454	4.223565
rtqpg	4.122945	3.010896
emini	2.694179	4.342994
npyjb	3.841650	1.058121
yfitr	1.292065	6.614583
qneow	1.483750	5.739364
wmqkt	7.926021	7.383110
otrto	8.530441	2.637504
crelt	6.975637	1.121972
cubxi	7.847367	9.533995
lcgby	5.696078	0.692907
jpcqd	8.910073	3.975065
titco	9.695916	1.591581
dcrcx	1.291331	9.260504
bggec	9.814959	3.396788
nuxgr	3.735471	0.009742
qyuti	8.945642	2.065743
gypkf	3.373900	9.409970
uywrc	0.415823	5.137170
arobk	0.106508	8.741602
rohsk	6.963165	0.075978
tprgs	6.006017	9.920034
xrmgs	0.866767	3.124345
bdlru	6.264280	7.744765
ivvkp	8.829443	3.753723
mqgmd	4.071632	6.451126
fbnqe	0.345208	1.915294
fethl	7.516330	1.906201
ilwod	7.479539	6.955880
ggfnh	2.544679	8.610254
jeheb	2.094674	8.426376
bjnhr	9.080448	5.188260
plhxh	9.107410	5.091278
loudj	1.478775	8.244867
qngxx	3.142758	3.776590
