
Name	VeloLon	VeloLat
hyxif	-0.496655	0.158457
wtdxj	-0.058941	-0.169565
pprrm	0.021149	-0.001694
dcepm	0.069079	0.242629
dtjhk	-0.231835	0.280255
iydqk	4.317094	-2.460752
wbmrk	0.058589	-0.201541
ieyev	0.014949	-0.041344
rwslk	0.155687	0.267378
udqth	-0.080572	-0.034306
bdits	-0.013511	-0.022913
pyvfd	-0.071550	-0.004240
wqyyb	3.614354	-3.263852
dcidi	-0.039472	-0.043489
xgknp	0.066331	-0.082996
onlat	0.031367	0.096234
ptebr	-0.144706	0.007674
ufebx	0.105438	-0.127938
nxfhc	0.009054	0.095555
qqmnt	0.063465	0.020980
bwvdm	0.006723	-0.043072
icwte	2.277205	1.325623
jguak	-0.012056	-0.053408
xrysm	-0.032733	0.010983
khtiu	0.254733	0.054052
snfgm	0.124514	-0.112668
rphcr	-0.015754	-0.023606
vumvb	0.094356	-0.433214
pgnhq	-0.005692	0.101513
ppekg	0.000569	0.037738
wxute	0.010203	0.098824
xokfb	-0.568435	-0.214618
xgnun	-0.002785	-0.040233
tutqj	0.047381	-0.043942
btnnt	-0.082326	0.003825
pajxw	-0.131107	0.104190
krwow	-0.022499	-0.120917
kvkxu	0.020339	-0.043396
tskpa	-0.023634	0.236644
jrlec	0.472059	0.133266
tusvr	-0.627305	0.196209
pqitw	0.003181	-0.203165
dwakm	0.028626	0.040929
licla	0.451814	-0.084606
ksubr	0.080100	-0.196625
oyggb	0.063922	0.068657
wktjf	-0.049570	-0.061255
ohpst	-0.015375	0.148330
fffgn	-0.044215	0.058631
cbiyg	-0.406210	-0.033342
