Name	Lat	Lon
yfixl	7.108688	7.045702
aljya	8.703412	5.718968
qdwwm	7.795831	8.238103
tcdqp	9.806522	4.535004
kvrlb	0.758875	8.214480
eygbl	5.556002	4.412183
qeiwo	1.850907	9.726415
lnpvf	0.655548	8.187104
pwuyf	0.054223	7.800325
vgvhn	3.318096	1.331785
eqchj	1.299161	7.236348
ungwy	8.752992	5.001413
nkqxa	3.374835	1.529326
qnmlm	5.901710	0.857137
jdtdd	0.174988	0.035710
pgfwf	6.195232	1.021372
iudxa	6.887671	3.265716
aewau	5.670624	1.092144
mnsws	0.795052	6.182590
sbmpw	0.024928	2.438271
ivylv	4.582963	8.956660
kohjx	2.845050	5.856658
dlqjc	6.166187	6.748151
ojlrv	2.281859	5.109316
bxiup	7.983625	1.205330
rggho	5.968046	0.780982
dplcf	4.168932	4.948186
ikvbn	3.523506	7.239455
jhrlf	4.839307	9.561780
trhtm	9.890346	4.235134
vbcbi	8.509909	7.042810
vkfrh	6.782603	6.038959
hmciq	5.703052	5.205908
reucc	0.616784	1.192397
trwgo	8.211264	6.291320
nyalv	3.385579	6.711691
dleko	2.818380	1.434094
nkhkv	4.217343	8.518130
dyciw	7.415870	0.885787
fjmur	7.824855	8.520725
ygtma	2.042448	2.341408
hners	7.611975	7.431285
anrop	8.528195	4.462934
sgfva	8.876764	3.381262
eyhnk	2.248699	1.769040
sgfkt	9.759807	3.882297
kejac	3.529154	3.074524
qrwgg	6.878465	4.498535
tccry	5.691126	6.367329
hasdy	4.454968	0.756498
