Name	Lat	Lon
jahtr	3.219420	7.209093
nglbk	2.563320	8.800057
wmthw	7.138930	1.712807
svxwa	0.401291	3.993598
gdvln	7.752449	4.497992
dwimu	4.549127	5.414086
nvvhb	5.890111	7.183667
hrtgq	0.132978	5.091339
gwtnr	6.000196	4.956625
vfnih	6.961548	5.289877
vmuif	5.252155	2.742027
xrbjr	3.245647	2.970384
nvuvu	4.214653	9.580783
pbfqc	9.636352	5.678565
foafm	0.827330	8.166289
tikjm	4.663237	4.930961
upxma	1.713870	5.025984
jqbuw	9.994159	5.012792
fjvnm	9.669279	1.836120
kmmix	4.403822	1.569251
tphej	8.424051	5.043638
jlrkc	6.727089	3.021760
ndavo	8.067154	2.177549
ttjtg	1.075900	4.657647
eodqp	2.043566	2.643663
tijpc	4.088053	6.215511
acyyv	3.882828	7.908841
ttjpf	7.199054	8.683120
scqya	9.032949	4.493308
auiwb	4.873212	6.771873
pgcyg	5.152082	4.080749
ufrey	4.092385	1.045046
dxxlj	9.719154	0.706832
ckswd	1.025657	9.816209
yypyj	6.369274	8.211838
tcukm	3.289576	8.385392
gcbul	2.633752	7.908171
qctdi	3.001303	5.474088
eulug	6.699599	2.899191
jjbvo	6.234989	0.164588
dpyhw	2.049081	1.457253
kydmj	5.051346	8.904924
ykxbp	8.298226	7.972767
kicna	9.013758	8.284585
qxqsh	3.225058	4.232952
wkwsl	8.472277	3.551406
kqnxi	7.518085	3.554919
bfdyk	9.203226	6.451431
gilju	5.642865	8.612224
uulhn	2.338556	9.624700
