Name	Lat	Lon
stnix	5.885178	3.601231
imvbb	5.827099	2.194671
okdlt	7.562367	6.052095
wtvow	7.828737	0.694224
hfadn	0.537027	7.578422
rnstr	4.132628	5.818655
kkyox	1.584201	7.081072
plmpf	2.878808	5.661503
twmwi	2.270529	4.131747
omnug	5.705834	0.789296
kqaui	0.739341	7.955658
juicd	4.028018	6.095914
kgbvs	4.230217	8.904280
tmekb	0.599493	7.249991
yxetk	8.392950	5.679681
caulr	6.986449	0.313976
fyvxj	9.296747	1.250628
udbsg	8.370643	0.422346
uwvsh	4.967423	5.404591
htlbq	6.913170	7.483603
ctvvj	7.642662	9.652385
bpgjs	4.043982	0.218007
eclef	6.629474	7.208106
aegmg	8.181597	1.573641
chgci	3.787425	8.095662
jwdsi	7.576070	5.258379
mdowm	9.196177	1.014410
icjnw	6.020368	0.147916
thsod	7.097689	4.328976
udcbn	4.832092	0.860048
tsxiq	7.093298	2.971803
reikq	1.635861	7.059656
nnthp	9.357798	3.909047
npywb	0.006951	6.513358
rkyip	1.948498	6.821083
lljqt	7.059169	8.402276
qyuvv	6.190645	3.445956
udwng	2.082807	6.168387
aecfl	6.980550	5.731361
hvhjs	0.419310	2.109860
fhbrg	4.064999	7.335281
cmrvn	2.905837	0.441656
genuo	7.746299	8.396367
tjawa	7.342545	2.052558
thvik	1.568320	6.146342
fwsvg	3.382204	8.757267
etjjl	5.091518	4.707865
fxxcg	6.782650	3.138382
yilln	1.527037	5.999972
dsnqj	5.259169	4.908387
