Name	Lat	Lon
dffvp	1.442248	2.947667
getyr	0.387467	9.870315
sfpvb	0.189972	2.153281
hpqsb	5.449661	2.859847
ximgm	2.562730	2.444372
ccqaa	8.160127	1.811041
qutvd	5.427384	7.252063
jujao	4.969091	8.044563
owhht	8.486640	5.506544
lqowo	1.132024	4.956931
ubawc	4.927365	5.932940
wnmxp	6.057399	4.220031
qgnxn	0.870945	6.698451
eensn	5.660924	7.964280
jhoff	5.783583	3.157362
uiwqr	3.114429	4.675618
hkqls	9.991952	4.209555
jienr	1.076503	4.739756
uqauj	9.470516	2.790472
lwuxm	9.397591	0.959683
ycick	2.278310	5.304473
fcnvi	8.515826	1.557596
rmdat	9.025607	5.490511
ofohh	3.005435	3.380318
vybsf	7.547660	2.342330
hinoa	5.096042	3.520265
soppb	0.340595	9.171794
rwkkb	1.318177	4.373256
lfapx	0.323122	4.602863
swolq	4.900626	0.713090
cxoqs	0.524605	4.820047
vptyx	2.396734	7.035307
nnkuc	3.293391	1.905355
eqnut	8.371461	2.018110
nbioh	9.316458	9.139009
pvuic	7.443181	1.707470
uhhmr	6.929157	7.549648
iqsnc	6.946967	8.344556
poqen	9.845632	7.677744
ayxcc	6.778775	5.534407
ipgpp	4.038469	0.871901
jjyhy	3.148352	4.547102
knldx	8.666177	4.357034
ebsha	6.794567	2.439269
prthd	7.662883	6.290692
xdgoh	8.532325	0.080831
npvxj	9.135796	2.786288
pvvys	7.483609	5.326797
ugjsh	1.720083	7.020392
bntaa	3.724814	9.435576
