Name	Lat	Lon
ttxmh	0.437478	9.006392
jkmci	5.022308	2.692034
kvrxq	9.913015	9.934546
urskw	6.943751	8.038136
pmpyb	4.681766	3.616629
fhglm	3.473506	6.435025
xcbbv	0.321356	9.213442
brpqg	4.384701	1.037924
ftetw	1.405892	3.675933
iapxo	7.039525	8.828883
cfyxf	8.735088	3.304500
apdjq	2.664851	0.629063
xkyum	3.452652	8.146811
lgkme	0.717416	8.714269
ehuxy	8.003090	7.602666
oeyki	7.811292	7.936444
igvgb	4.802055	4.388933
llqpj	7.553045	8.139915
jagkv	7.285774	4.024947
diksm	2.571667	2.010030
odkyv	0.676018	2.000397
rdiud	9.429518	1.837891
ogssq	8.977788	1.900933
wgpbm	7.810345	9.689285
ttxav	6.702921	8.465324
bebaq	3.408132	5.995324
hhiut	0.735679	0.476036
mastx	7.630079	4.563434
rnyir	5.163008	8.740118
qtvoj	9.684744	4.676009
afxcf	8.215988	1.498079
mvwgl	4.499983	6.112007
hgbtc	3.896274	1.216987
thmio	5.523254	4.678141
dqunq	6.107384	9.337544
etohw	2.233541	6.796111
qmvsb	0.602843	9.123020
cstkc	9.624861	1.989625
ctkfh	8.820625	5.046637
ealnj	8.746459	8.247084
mhbsx	2.122039	1.731548
itcan	6.884428	5.114945
kouvq	5.768562	6.580935
hfeqd	0.520696	2.221129
naqhj	3.965009	1.335989
uqngt	4.309445	9.911603
lnxoi	1.396319	8.839257
lbdso	4.775588	7.933288
dfoyu	5.111988	3.306070
qpdhu	9.058032	7.174931
