Name	Lat	Lon
xbjnf	3.663713	3.274449
htuaj	8.107283	6.032493
cujqy	8.876169	9.102688
cggcy	6.639199	1.777036
ptrgo	6.549879	5.011397
wurwv	6.146377	3.814848
nbxqy	3.505792	2.166568
xdxul	3.923949	1.853033
pwlqp	0.378585	9.819146
lobvy	8.418929	2.873114
bvovt	2.833353	6.944299
dpyax	5.042708	0.157972
ngvwd	2.550581	2.801366
yivas	3.130209	7.607136
ebumu	7.088266	9.418521
aphmg	0.050439	2.494797
gdgrm	9.644349	7.730091
cepdy	9.723573	2.581051
jfjiw	7.218970	4.097532
uwomo	8.155380	9.221643
ymcki	9.960486	7.478429
dvlbn	6.279904	5.887802
mvscm	2.827541	6.349308
sgkii	0.593516	2.476979
ydqki	5.667543	5.218996
ipwfe	1.336056	4.389322
pkngi	9.768386	5.093102
omikk	8.669273	7.260586
euunn	8.710406	4.465920
fawrq	4.866359	5.786569
mirmr	3.808951	8.895925
tiprh	7.016297	7.047481
yncbk	1.325594	2.907201
vdghy	9.189206	9.265734
esqaw	5.632478	2.980046
ccqmj	7.251175	5.054873
eobei	6.559901	0.497802
owuye	4.514887	2.256471
ujjdm	8.413091	1.704552
fybhy	3.599042	8.822134
tlqfm	4.051734	9.103591
sjwdg	8.027094	7.494379
ikbyr	8.206238	1.376701
kfjna	7.068556	2.245914
rmjut	9.615602	1.218517
domft	5.957265	9.419049
hreqv	7.113657	3.747076
kwlnb	2.133130	9.232590
wvycy	1.623560	1.510182
cdcig	9.491992	7.171981
