Name	Lat	Lon
plfmf	4.442930	0.653564
cfyyj	5.439632	2.324355
vfnps	7.372395	3.898814
pefvs	2.379076	7.834377
jtntx	7.974297	5.134050
piytr	5.972501	4.007614
tpfpr	6.156817	9.829009
dqamq	7.909718	7.616940
cwcpo	3.783890	8.625203
dvvuo	4.573810	5.832366
pmwug	5.811976	2.022717
jhven	7.970620	1.875883
takxc	3.359272	2.205828
mfnon	4.938569	9.285711
pqpof	2.609367	2.522319
hoxua	3.872020	5.638357
xlfjq	9.304795	7.041072
lrwcl	7.294140	5.682590
wdvux	5.496907	2.614119
stnae	7.515580	6.523920
arkty	5.364352	4.347912
snpkh	5.528156	8.660411
mmibl	7.603867	1.717594
iyrcv	5.176162	8.193323
dffja	6.239765	5.753331
comei	2.480029	1.738114
qoyel	8.855582	1.842617
qcvds	4.702191	5.774659
icsvc	6.774567	9.726113
ygnpw	9.931466	0.146958
rrgox	6.568693	8.151756
vlols	9.239127	0.024349
wwgmk	6.064407	2.003693
jylye	1.635490	4.495248
bgnti	2.632040	7.682075
vplfr	9.615987	6.694807
srnje	9.261488	5.896309
mjeab	5.135839	7.823831
hplxu	7.134919	8.053617
hwgen	3.640535	6.575453
trrcq	0.026530	6.463380
paplo	9.757484	5.894553
sqyrq	9.080122	4.039334
mihma	0.547977	9.613289
bpcxh	3.905437	9.855650
htjey	4.849879	8.676435
qbklc	5.955722	1.921578
mcydk	9.299041	7.811584
bycsg	9.806954	8.979580
cctqg	1.534355	5.472811
