
Name	VeloLon	VeloLat
spycb	0.068100	-0.018813
qsxdr	-0.004398	-0.008897
vnerd	-0.036642	-0.145889
dvvvg	0.022586	-0.013704
uhpto	-0.015082	-0.012183
xdohw	-0.001776	-0.009670
xynug	0.002907	0.009045
nhxpm	-0.004151	0.003441
ftulh	0.006692	-0.016030
biujw	-0.025249	0.035601
ynlmm	-0.026708	0.008441
iuspm	0.051650	-0.016463
ugetp	0.010276	0.001545
qbqbn	0.028719	-0.056698
yivhq	0.005194	0.013483
vqbaj	-0.099723	-0.048493
drydn	-0.031110	-0.024308
qljsn	-0.018294	-0.070995
grwsw	-0.069021	-0.010905
iempe	0.013531	-0.023854
iqnxi	-0.024938	0.042658
kkmms	0.025333	-0.007442
xqrox	0.011439	0.027274
bdory	0.019214	0.025761
rygpl	-0.004253	-0.001957
rnoug	0.019655	0.058055
tckyw	-0.014867	0.002031
scfdx	0.012132	-0.039561
jbcka	-0.052855	-0.012582
fclmn	-0.026675	0.013611
nmqno	0.024200	0.028347
nwhdl	-0.004750	0.015401
ykbps	-0.000044	0.009510
xgxnl	-0.043377	-0.059601
krokc	0.020573	-0.004189
safin	-0.006227	-0.010760
rpsmu	-0.148405	0.148841
dfhyk	-0.021696	0.035842
thraw	-0.009620	0.026655
bpaaq	-0.001512	-0.008460
kmxlk	0.014122	0.036058
tsrlx	0.061154	0.018534
slegv	0.038209	0.030589
yefid	-0.012353	-0.003011
bkprs	-0.048628	0.151083
fyubt	0.004003	-0.006270
iepfc	0.003315	-0.009510
cgrag	-0.049215	-0.007149
gyigu	0.024126	0.009615
ismmc	0.003126	-0.011542
