
Name	VeloLon	VeloLat
crcdu	0.060989	-0.056882
xjeye	0.203841	0.115059
cfomh	0.075849	0.134794
xstch	0.531404	0.623084
ufrhm	0.364697	-0.104653
dreng	0.076535	0.018408
wknmj	-0.107251	-1.038332
wmnys	-0.244264	0.294114
swtug	-0.105944	-0.205479
ubdpo	0.030411	0.037447
kxtsh	-0.028863	-0.328666
seiki	-12.757342	3.413008
tqexq	0.037103	0.206421
xdnnn	-0.216284	0.020552
sdtxf	-0.056699	-0.083919
txvyi	-0.161215	-0.176877
rmtho	0.284808	0.330244
nepqf	-0.021636	-0.115082
ymorp	1.280908	-0.298118
dnjyv	-0.002550	0.381331
bhplk	0.014363	-0.000004
gvryj	0.024801	-0.127585
epncd	0.011251	-0.015338
fputk	0.002673	0.089049
nljau	-0.027330	-0.035142
txltq	0.369101	2.799581
olfsy	-0.033337	-0.012081
skkyn	-0.005605	-0.022042
ivlfg	-0.190287	0.209919
csmqg	0.016027	-0.031973
hixpd	-0.103527	-0.123108
vhgxk	-0.077700	-0.096079
jgfbs	-0.278471	0.059766
lhmgl	-0.361361	-0.275871
olvvj	0.402274	-0.374206
cgcch	-0.003820	0.153281
tyqjn	0.089548	0.162534
qcmjw	0.088081	-0.137144
yndoy	0.454441	-0.193434
orogy	0.034837	0.066713
fqdlo	-0.047367	0.042275
yqdme	-0.235069	0.411333
btmjj	-0.233629	0.070890
rmsua	-0.090247	-0.301966
mnkli	-0.402621	-0.038504
tkmwq	0.009790	0.039911
tmycr	-0.059250	-0.056154
jichy	-0.008567	-0.056572
hrupf	-0.049787	-0.014562
dqqhj	-1.093191	0.667366
