
Name	VeloLon	VeloLat
ttxmh	0.000605	-0.003809
jkmci	-0.029696	-0.021905
kvrxq	0.005664	0.013220
urskw	0.019270	-0.088849
pmpyb	-0.059984	0.007015
fhglm	-0.010469	0.013160
xcbbv	0.005030	-0.008510
brpqg	-0.005284	-0.007369
ftetw	0.005032	0.003209
iapxo	-0.004214	0.020173
cfyxf	0.001991	0.005899
apdjq	0.002414	0.009046
xkyum	-0.007896	-0.004289
lgkme	-0.011464	-0.007671
ehuxy	-0.043563	0.013583
oeyki	0.005141	0.031682
igvgb	0.020207	0.019505
llqpj	-0.002371	-0.004290
jagkv	0.000071	-0.009920
diksm	0.001844	0.004574
odkyv	-0.011100	0.113640
rdiud	-0.000802	0.004485
ogssq	-0.022518	-0.034322
wgpbm	0.007199	0.054947
ttxav	-0.001818	-0.000551
bebaq	-0.030698	-0.018134
hhiut	-0.005327	0.001040
mastx	-0.019758	-0.007228
rnyir	0.014141	-0.003165
qtvoj	0.003675	0.003358
afxcf	-0.012164	0.014062
mvwgl	-0.018866	0.010429
hgbtc	0.001802	-0.005657
thmio	-0.003146	-0.001457
dqunq	-0.009077	-0.023856
etohw	-0.003237	-0.011676
qmvsb	0.029002	0.036453
cstkc	-0.017398	0.003035
ctkfh	0.022924	0.006927
ealnj	0.000026	-0.001232
mhbsx	0.008574	0.006013
itcan	0.033936	0.026999
kouvq	-0.005619	0.002377
hfeqd	0.100436	0.035155
naqhj	0.002934	-0.005003
uqngt	0.000521	-0.004230
lnxoi	-0.000977	0.000962
lbdso	-0.015018	0.039833
dfoyu	-0.001614	0.013107
qpdhu	0.009956	0.010183
