Name	Lat	Lon
letie	1.216694	6.385507
bvqbl	2.354658	8.983897
bgvwk	8.409240	4.730672
iprbn	2.683628	4.095477
jmimn	6.106184	3.739282
xukii	3.299630	6.627792
eniao	2.972381	6.875883
dfril	8.370470	6.801831
utupv	4.811197	2.481990
ahkte	3.194406	1.788136
nvkwr	1.713711	8.382919
ghdng	5.592762	2.346974
ebnvo	4.261343	7.551274
cdcby	2.525775	0.392844
mwpwj	3.524191	0.706463
vdmpf	1.632873	1.080004
aouxf	4.462500	3.699914
uyxov	5.123612	1.241454
aupwa	5.563712	2.541534
bijgc	1.931866	9.312306
pisij	6.079884	8.869880
humea	8.677769	4.610500
oafup	3.754115	7.269218
mywud	2.392991	5.405628
xvmyn	7.275144	8.999659
rdqcu	4.552105	3.344116
ilqsa	9.822876	7.225550
rsgjg	3.662998	3.077507
yutqg	3.227169	4.000311
hapjs	4.749851	9.036399
fomel	0.975730	0.753911
oyvaw	6.722813	9.088875
ipicf	8.635087	0.313479
hdrat	7.969539	9.907656
aerhc	3.106946	4.039573
xejaf	4.598353	8.436044
fpibw	3.304430	4.521527
afdiv	0.245814	7.556985
owjwp	7.542453	1.395701
gxqnb	8.787951	6.000404
mnfpc	8.096836	9.091337
ikuiv	8.614818	3.515120
uuvop	6.642446	9.243568
jiypd	4.000117	9.588505
wdjkw	8.254844	9.973122
cvkfv	3.202059	9.168989
uweml	0.238384	7.013758
ngqix	1.941499	6.512283
hlrmc	3.295381	0.775468
qorpu	1.100395	5.475760
