Name	Lat	Lon
kqnpm	7.218057	1.797300
vbbbx	2.458989	3.891977
njunq	2.774085	8.221739
csunt	6.542460	4.044538
ggqnn	6.929316	9.118637
ykuvo	8.924379	1.020939
kdcqu	4.431246	2.029775
twshp	4.251724	5.946585
ywhdf	5.405696	8.719308
jrymh	0.077977	3.539006
gsepw	3.482933	0.562473
cxcay	9.419204	7.658679
hlevr	9.237998	8.566028
vccvc	1.081064	3.035704
vsupm	7.175760	9.436376
uslxv	3.148055	3.005483
knuqb	3.088185	9.362949
cumrj	7.558886	3.127123
bnhtg	7.616496	2.188827
svxhl	8.167844	0.440779
rkarj	2.251967	6.956759
irnhb	2.702429	8.816130
bdptc	0.910634	9.723384
djdhg	6.734445	5.031638
pfugd	4.659355	5.821661
hsohl	9.320079	9.779813
efjvx	6.852852	2.567195
sgjbs	0.431026	5.880314
vlfjr	6.130059	4.246810
qvnoi	4.811532	7.904136
kvsav	3.063906	7.417330
rnfcm	0.407599	5.066961
eidis	4.177120	0.510155
rtqll	4.497598	4.861932
bofoe	9.738110	1.125706
koqtk	8.943965	8.410718
hhrxp	7.969091	1.214849
iqweq	6.623558	6.515537
uvyhx	2.121026	2.147446
uqhru	2.511470	8.082496
goclx	0.072958	0.274295
urykb	1.833082	6.210022
iewub	7.470336	8.608167
wwyad	1.506938	3.936545
tyaoc	0.739951	7.103037
xdqkf	5.837168	6.360197
bthqw	3.878234	5.284339
hswqe	5.572362	1.481857
twama	9.469123	4.693846
srowe	6.719476	7.550230
