
Name	VeloLon	VeloLat
efsay	0.081742	-0.387034
eckay	-0.172872	-0.173730
lqbfx	0.016123	0.002899
fnnlb	-0.108406	-0.033783
gpyca	0.149519	-0.014634
mvhou	0.025965	0.238216
ejsib	-0.016794	-0.073553
uxpbp	0.093428	0.086061
atcei	0.050058	-0.056458
fbqaw	0.411327	-0.591112
mscav	-0.482077	0.673372
niefd	-0.527232	0.354760
ekotk	-0.054816	-0.146265
vbtuq	-0.025643	0.010183
oncgt	0.130331	-0.122415
hmbmi	-0.013153	0.211663
huqtk	0.047689	-0.028807
attku	0.000832	-0.056615
jwkmu	-0.103902	0.072725
hotsf	0.263379	-0.233124
liwcw	0.020780	-0.014259
ypphs	0.554601	0.545537
cqhrc	-0.014312	-0.016106
lhxyq	0.090995	-0.099706
nlsns	-0.047196	-0.007901
ymlvf	0.015983	0.011110
nsjqf	0.428524	0.120082
sutnc	0.013844	-0.027687
glgjm	0.013370	0.053916
rkiym	0.035733	0.002064
inrke	0.053801	0.372391
qkirs	-0.088104	0.030342
hjuhr	-0.047268	0.140663
kfxgk	-0.014067	0.105612
yheti	0.106295	0.084223
ieayf	-0.170390	-0.068488
uuijw	-0.026815	0.166192
pgpkx	-0.006589	0.026694
reyem	-0.339983	0.029013
wdcgv	-0.129304	-0.180453
ppjqh	0.327316	0.000307
pqmov	-0.046642	0.078547
oxsba	0.208027	0.153285
uwtbd	0.012311	0.036456
jhojc	-0.087854	-0.326514
nweyr	0.522225	-0.272375
umkdg	-0.161172	0.017667
vybme	-0.056040	0.021402
ydjgo	-0.116857	-0.151495
okjno	-0.165653	0.525075
