
Name	VeloLon	VeloLat
skgag	0.045744	-0.032073
sjuah	-0.192455	-0.025147
mvpiq	-0.092811	-0.067429
ivvmq	-0.045678	-0.002310
ceija	0.005799	-0.005349
dhrln	-0.000856	0.120069
qdglq	0.040262	-0.002897
nqfpd	0.009952	-0.031872
xwisk	0.011212	-0.008142
irwyx	0.004266	-0.011444
dfhyg	-0.006542	-0.002670
tjria	-0.004980	-0.004948
qumws	-0.004055	-0.003236
fqxnu	-0.020159	0.011545
nviav	-0.002099	-0.012980
tdrek	-0.088135	0.065213
rpvws	-0.926643	-0.243806
avwsp	0.000931	0.003549
cxtep	-0.000223	-0.010148
tlxfi	-0.007772	-0.015751
klwjw	0.017087	-0.032193
gfdre	0.097714	-0.034294
hutnh	-0.002515	0.000399
mrqiw	-0.003514	0.066737
vlgtf	-0.005323	-0.002775
idkgj	0.016194	-0.006283
vfcvk	-0.007658	0.000376
gnwvj	-0.004216	-0.009867
ckbcd	-0.000246	-0.002954
mtkic	-0.013378	0.011129
lvosr	-0.000794	-0.004110
wukmg	0.002557	-0.008888
rcorm	-0.004740	-0.001565
tkpas	0.001618	-0.005850
itsvj	0.001636	0.005282
jsagi	-0.019034	-0.011914
onkcx	0.011550	-0.024402
fcdup	-0.000025	0.009903
oshre	0.002067	-0.004968
yyjbf	-0.016834	0.022559
edbus	-0.008440	0.015740
dudmf	0.000009	0.001835
lqfqx	0.053363	-0.265748
pyvpa	0.003152	0.008911
dsncj	0.034140	0.013067
tyrgm	0.003382	0.007520
nduaa	-1.860995	-0.366878
fipdr	0.053673	-0.010178
iadbl	-0.010301	-0.003143
nsbvl	-0.006185	0.009734
