Name	Lat	Lon
yopja	7.662350	7.862656
pokaw	8.002952	1.124413
srkws	4.511324	5.611621
lddss	2.780367	1.827975
pamio	5.726746	9.632042
vihgm	0.521629	9.421701
hlbas	2.046927	7.012676
klwvh	8.042695	2.708279
lwydg	9.784085	3.581828
cemdv	1.535358	1.122243
lcudl	1.064131	4.764745
hyanf	1.216266	4.846267
hvfwa	7.573925	1.786611
fjvis	4.574920	4.964275
ufpwu	3.436697	0.688608
baiem	8.535257	0.569318
vedyq	1.018665	2.067057
uibal	7.288300	0.695382
fmuln	5.166186	4.450239
ggalc	1.919402	8.093171
whubi	3.788403	9.391550
cyhxm	2.255245	1.682171
asiaa	5.671021	3.895143
cvevf	6.252061	2.850970
ktias	8.283332	8.396994
vaywn	6.568082	7.953625
tqxdh	2.738410	9.751457
nyivb	1.901245	4.457780
eejxf	5.807516	4.219421
yeymx	4.804679	6.918832
hxlqh	1.720775	2.232506
qtgpr	3.331511	1.069396
dxhxt	5.783561	2.710524
lmhyh	2.661147	4.311457
digsu	9.001314	5.893913
prjse	2.905563	5.080199
ctrhp	1.895240	3.804480
glxdm	8.137142	3.297920
lkwse	3.834518	0.952807
qgkdf	9.875523	6.740041
aktjn	2.075611	7.920633
dcsxx	4.808830	4.799477
rbasg	7.378348	2.012101
wqjdd	9.561736	7.897874
unsqo	7.130495	4.088602
ehgan	3.322156	2.227841
bubjk	3.473806	5.476496
qkfcu	8.502266	4.263016
kkncb	5.449818	7.591804
aafxw	3.872911	5.097511
