Name	Lat	Lon
xkqyw	4.217376	4.091403
aavbd	7.406823	1.437937
hjwtc	5.591662	6.476206
qeghf	9.613044	9.070007
uumac	1.517750	6.428959
lbpcw	1.112004	8.824366
hiqwg	3.701813	9.452829
abfun	1.311097	6.374208
itpxn	0.108447	5.600649
rmrre	6.636192	2.663571
lhhrs	2.598322	4.472696
peptb	7.505983	0.002827
eukvd	6.749671	3.058651
kecwy	1.803419	1.714274
sgqgj	0.349976	0.071420
imntn	2.390464	2.042744
qpjvd	3.775343	6.531432
altdp	1.341249	2.184289
yelto	1.590104	2.365181
lccit	0.049855	4.876543
quxau	9.165926	7.913320
ugosy	5.690099	1.713315
jakvh	2.332375	3.496301
gsamr	4.563718	0.218633
fyqpi	5.967249	2.410660
mmprd	1.936092	1.561964
giahk	8.337864	9.896373
qxufb	7.047012	4.478910
vrmak	9.678614	9.123560
nmonc	9.780692	8.470267
ufecq	7.019818	4.085620
runmr	3.565206	2.077918
ryetk	1.406104	0.411817
mlsee	1.233568	2.384794
njwmd	6.422528	2.582640
exawu	6.771159	3.423381
gwlxg	5.636761	2.868188
exouu	8.434686	7.036261
gxeqt	4.831739	1.771573
nsypj	5.649710	7.041450
xmqca	4.084897	4.682816
obijl	5.223950	4.862571
abjdi	7.056391	8.925868
opnud	7.753528	6.762525
ibrbx	4.497398	3.538079
omnun	9.519614	7.764593
xisae	7.058309	6.149049
kmtmm	3.756931	8.997070
nehmb	1.382252	2.734657
rdogb	8.909935	1.512995
