Name	Lat	Lon
uxwtk	3.882452	2.777645
yybbc	5.618437	2.378510
vhfbh	8.832677	9.069961
pqpvk	0.111074	0.796103
kophn	8.890762	6.819711
mlupc	2.883130	7.032361
bclhl	8.666471	6.773289
lyhrd	1.116300	7.371995
ftncp	1.081531	1.657112
sokjg	1.938692	7.287555
fapju	7.200897	3.596549
rnngu	6.375134	5.472504
xltvj	4.276906	6.874771
dlbux	3.488917	1.964270
ggtlk	1.089812	8.219854
hrwrk	3.956085	6.463019
kusjo	2.045377	9.924558
jlxmf	3.500096	6.651009
mimyu	0.861857	6.110005
xpivu	4.441214	5.226658
umhaj	5.298495	3.478628
yybaq	5.994663	1.806747
iyqaj	2.316435	2.299775
sjtkd	9.498688	2.321622
vopkg	9.019003	4.451658
krkfx	8.040122	2.386984
upgqq	5.136226	0.331120
gbghx	2.484312	4.542303
advgj	1.291910	3.835979
cljni	4.708731	3.124574
mxfnv	2.916946	9.644964
oupgo	4.266289	5.103485
sfebl	8.273731	3.515694
sibar	6.950833	6.604805
spbti	8.686170	2.648818
snxdj	8.367945	8.452928
mjyck	6.861323	0.059312
eggst	9.327318	8.251284
kjdhr	7.823404	4.227871
hktbf	2.972272	7.945676
ocedl	0.112754	4.969365
wujoa	6.469308	5.051852
crllo	6.090519	9.667168
pjayd	2.328904	3.356478
amraa	6.598106	1.886511
nigiq	8.111987	4.374850
oadxo	7.811816	8.166705
rylit	9.520924	3.199234
wlrox	9.179554	8.163216
vmtyq	4.021008	0.759447
