
Name	VeloLon	VeloLat
usbrp	-0.003324	-0.000438
bpxxr	-0.024034	-0.001997
jptuu	-0.052943	0.058961
unpju	0.000323	0.002369
rifwy	0.016757	-0.015224
upxwv	-0.002909	0.008940
wgbuv	0.001130	0.010751
oilrt	-0.019170	0.005123
bwbgs	0.005463	0.041551
axjvh	0.001919	-0.020445
grlvo	0.058870	-0.060266
dcjcf	0.011897	0.000445
wafym	0.012743	0.008556
rbfhf	0.006960	0.031263
utghp	-0.026563	0.003980
chkvl	-0.006312	0.003073
yspdt	0.374713	-0.107891
svlme	-0.015026	0.010867
lojkk	-0.011797	-0.004044
jwtlc	0.068746	0.032916
ahqix	0.001918	0.029995
utufc	-0.003665	0.026780
rgpys	-0.033076	0.024574
exvbx	-0.001836	0.003103
abpra	0.001886	-0.000806
bhgne	-0.040192	-0.048434
tsxne	0.011287	0.016672
tmxaj	-0.104332	-0.027087
pmuxm	0.009494	-0.008023
mdfgw	0.079420	0.016360
hhdsy	-0.002875	-0.000203
xsssj	-0.016703	-0.006941
lwogf	0.056166	-0.024388
rmsmc	0.002032	-0.005639
nofip	-0.014220	-0.040139
jgsbh	0.038691	0.194096
jhtrn	-0.064581	0.001627
gdcly	-0.033131	0.012962
cusyv	-0.032897	0.004288
cwdct	0.016017	0.019085
ivhmt	-0.018176	-0.011176
gaush	0.002429	-0.002137
utmvt	-0.019314	0.003657
geqga	0.006198	-0.007141
yumkq	0.046041	0.045560
cidnm	0.010562	0.008505
tyfsm	0.044495	-0.039835
rbmof	-0.001543	-0.002488
ymmjo	-0.005899	0.007260
bmiid	-0.044335	-0.014534
