Name	Lat	Lon
fjrhc	9.439522	2.124082
wtccp	0.178805	0.054155
wyrlo	1.460282	5.171147
wjkwr	7.731998	2.961726
brykp	0.916465	1.685662
wavvk	6.910629	3.024746
hmgoq	2.509654	6.944280
iihcj	3.206582	9.755055
dtijb	7.297641	3.031909
msllo	7.364882	1.455189
mnplo	1.388921	1.573832
fdoce	8.404514	3.596621
eljuh	0.917634	4.668943
qgkdh	8.550348	2.678560
qmewc	8.480444	5.697536
adywk	0.084065	0.824661
jjnwx	2.740582	2.883485
uqbhq	6.205956	0.968418
pcqet	5.364949	3.495887
csrvq	6.925634	8.702738
rutdh	9.934143	9.130715
gllmg	0.466507	3.146336
vjivu	4.712568	0.582181
hkyie	4.322526	4.128299
pgkxd	2.779238	8.698327
iauxp	5.560093	0.648870
bbhmf	6.280643	8.488504
pvhec	7.782121	8.767643
obdhe	4.517343	4.109866
dcsxi	4.777265	2.977615
ugyvu	6.348252	1.493208
pjbuv	5.027162	5.079135
sfuox	2.209324	1.512002
jgmxn	5.315343	2.109556
ogkaw	6.054130	4.966743
txjur	8.751958	1.758122
qrlpg	7.599835	4.163004
owcsp	4.191478	0.427452
aqrjw	0.688485	6.174254
annto	9.331737	1.370223
rkmbu	0.086223	8.505985
ertdi	6.711824	9.157298
gxjqx	7.010397	5.627834
dbpjd	1.780926	3.743189
vwpcs	2.692670	2.030862
dowbr	3.262108	5.698415
xvpmm	1.856095	6.245127
cwjfj	0.221883	5.387649
vjpvo	9.372600	9.183636
thwfk	2.486653	5.286636
