
Name	VeloLon	VeloLat
quwyd	0.168263	0.003018
sjqbn	0.019026	-0.098661
tfpfs	0.065122	-0.026704
cdctv	-0.021106	-0.028492
wcujc	0.016288	0.032368
rlkqn	0.009013	0.000278
boaiw	0.092006	0.018588
nrknt	-0.037554	0.041937
jtxqb	0.041293	-0.054644
deoqf	-0.100333	-0.124070
opotc	-0.020981	0.069663
mnhfe	-1.295416	-1.726218
xpwvv	0.022039	0.020766
suanw	-0.032441	-0.004953
gccji	-0.034331	0.002271
cpfbx	0.062347	-0.045857
lffsy	-0.044915	-0.256973
ahqyi	0.083453	0.068800
ecfbh	0.033310	0.015154
fqdnf	-0.167899	0.040640
ejxju	-0.059167	0.006453
elrng	0.016421	-0.031106
txejr	0.016165	0.013176
vnquo	-0.090924	0.250656
enwmq	-0.042944	0.150443
updxm	0.025550	0.001882
fqfdu	-0.022133	0.066809
aorbk	0.044216	0.023888
xfnfq	0.186242	-0.299241
agyve	0.112799	0.524612
gbsxl	-0.008593	-0.004613
opbcx	0.086425	-0.135174
mbvla	-0.000707	-0.020934
jviha	-0.102881	-0.325723
vdslp	0.031519	-0.049900
qqadg	0.068125	-0.044238
unyah	0.021562	-0.010557
jarpk	-0.045677	0.195637
uqlix	0.008977	-0.003280
muiqr	-0.024821	-0.071730
csrws	-0.008992	0.033186
uyoyt	-0.048130	0.022292
orowj	0.799308	-0.208712
eomnd	0.065119	-0.049589
lwfdh	-0.091539	-0.109999
llied	-0.324287	-0.118617
oondh	0.035771	0.009272
sumph	0.040723	-0.003020
vennp	0.009400	-0.016053
fyscp	-0.008211	-0.014232
