Name	Lat	Lon
sdrqm	6.438841	4.418185
bpwcx	5.126639	7.600115
tyqow	4.277860	3.425613
ouvta	0.802582	7.987196
mguwb	5.504898	8.995984
gtqys	9.098255	0.828173
erurc	1.780221	4.367334
ojqpk	0.265955	0.182678
mtqej	2.000391	9.913250
ukeqo	3.923097	0.579754
rcsqk	0.504310	5.484055
vjcvj	6.491293	5.940768
bupus	8.429307	9.161565
ffkhh	9.272704	1.357129
ndanc	1.654659	6.332579
ntxsy	9.326474	9.861922
siyya	3.427740	0.051968
shfsw	9.988319	0.025584
nsuec	9.338558	3.672240
uyytv	8.807645	3.138502
qfrlv	6.848102	0.087276
sajxe	3.454177	6.043521
bjdud	6.134308	4.355098
nqvnp	2.151799	9.315294
idghi	4.087132	5.287326
ntvih	8.176106	2.431021
debxr	7.765655	5.817681
nnsik	4.398107	7.366240
oekxa	8.065898	8.986617
apttc	9.746425	3.543746
fphxp	0.304164	8.161498
pnjib	8.184769	2.090093
gyvas	9.438307	1.413663
exltg	2.051313	9.632418
bbfxv	2.738548	6.423677
qesxc	6.579153	6.770785
phfpw	5.267505	5.816342
keqgt	6.002606	0.948177
iswpp	3.399198	5.798382
sscrg	2.469978	0.329177
gibot	4.098162	2.914506
xbgcs	0.102692	7.809847
xuvcf	6.596452	5.945534
utebd	8.027516	6.569169
kvhlo	6.450116	8.465904
txtla	6.944553	7.102811
ukbvt	5.036170	7.109837
fnjbu	8.406451	2.902862
pqwvs	1.285729	7.224447
ssaoe	4.677113	9.249401
