
Name	VeloLon	VeloLat
cbjlm	-0.003179	0.009062
nmfax	-0.001912	0.011743
etypk	-0.007155	-0.004280
ptten	-0.014340	-0.085356
dgmba	0.050703	0.096335
rxcsk	0.029556	-0.020060
nrjpn	0.000212	-0.000976
vkuyu	0.015666	0.004674
lwbce	-0.005270	-0.001721
bytlw	0.014136	0.011612
rjmlj	0.012313	0.034599
fpcbo	-0.009071	0.032742
nfswq	-0.030057	-0.036144
jywkt	0.035347	0.012947
hfmow	-0.003262	-0.004149
crygp	-0.012476	0.010564
cvtif	-0.004217	0.019063
liwqv	-0.128914	0.065390
rlqgk	-0.008317	-0.005699
qswub	-0.052900	0.039239
splbw	0.006786	-0.008612
xguqu	-0.009800	-0.016117
btcvb	-0.038117	0.002379
sckxt	-0.044309	-0.003515
tejfu	-0.080462	0.104250
xrejp	0.159519	-0.058403
fjrtb	0.001570	0.003255
uvwtb	0.015322	-0.026519
dsdrg	0.005642	0.000001
hfemr	0.002803	0.027143
pfhfc	0.021519	-0.061149
tqevu	-0.013786	0.017268
crkqv	0.009790	0.036756
fpydq	-0.023723	0.020633
xccip	-0.020435	-0.015792
eclmp	-0.023434	-0.019381
vkedl	-0.075276	0.035755
gdgfk	0.030383	0.031573
hcxcg	-0.002509	0.005550
womoj	-0.012380	0.000430
gudic	0.052029	0.005436
uirsj	0.032506	0.031347
skuna	0.005371	0.007173
vwwya	0.006651	-0.009333
dcsrm	0.017267	0.003959
flnmh	0.011099	-0.055536
kgqod	0.013553	0.011592
jxngn	-0.028774	0.075043
xaddh	0.051071	0.136624
sqdfh	-0.015424	0.013746
