
Name	VeloLon	VeloLat
xbjnf	-0.000018	-0.088117
htuaj	0.009037	0.013156
cujqy	0.024427	-0.023899
cggcy	0.133172	0.062696
ptrgo	-0.014456	-0.022676
wurwv	-0.006949	0.008988
nbxqy	0.062385	-0.089454
xdxul	-0.077957	0.097719
pwlqp	0.009298	-0.017012
lobvy	0.011193	-0.040705
bvovt	-0.023570	-0.036270
dpyax	-0.007755	0.015913
ngvwd	0.009400	0.000020
yivas	0.018567	0.039192
ebumu	0.089529	0.053826
aphmg	0.000707	-0.023674
gdgrm	0.559313	0.127287
cepdy	-0.021661	0.037287
jfjiw	0.047305	-0.013764
uwomo	0.029028	-0.051778
ymcki	0.077207	0.109330
dvlbn	-0.142335	-0.077907
mvscm	0.015068	0.012166
sgkii	-0.000736	0.020296
ydqki	0.008463	-0.001169
ipwfe	0.007101	-0.040890
pkngi	-0.035622	0.010044
omikk	-0.004319	0.162312
euunn	0.058533	0.061817
fawrq	0.037858	-0.020100
mirmr	-5.088054	-5.024798
tiprh	0.010848	0.000933
yncbk	-0.041646	0.016073
vdghy	0.017064	-0.000953
esqaw	-0.026311	0.087714
ccqmj	0.054411	-0.038741
eobei	-0.016111	0.053442
owuye	0.006991	0.012204
ujjdm	1.045243	1.460822
fybhy	0.015285	0.013206
tlqfm	-1.531118	-0.866380
sjwdg	0.007727	-0.008557
ikbyr	-0.788396	0.303917
kfjna	-0.070818	-0.033848
rmjut	-0.047523	0.001760
domft	0.016128	0.017839
hreqv	-0.058072	-0.045430
kwlnb	-0.002936	0.019583
wvycy	-0.009188	-0.014833
cdcig	0.120589	0.007521
