
Name	VeloLon	VeloLat
bsyum	0.026608	0.032707
gesdu	-0.004561	0.004952
aompd	0.001125	0.000466
bwwaj	0.005446	-0.010524
sgyjo	-0.044864	-0.016030
qgjca	-0.002854	0.021924
xdnsj	-0.001758	-0.001466
jvrxc	0.003263	-0.005495
wtaik	0.004710	0.011069
ddjrv	-0.005763	0.003122
glkrx	-0.011090	0.026597
prcrt	0.017025	-0.011115
xbbtq	0.008312	-0.043753
oissm	-0.013544	0.011276
cnflr	0.011568	-0.015496
gukkf	-0.006135	0.016910
xaakv	-0.010905	0.018862
jtxtk	0.013216	-0.022009
wxlrx	0.015346	-0.010801
wcajg	-0.003045	0.005539
pagci	-0.006386	-0.006499
difok	0.022715	0.030702
bpnve	0.000239	0.001379
xxowc	-0.003889	0.005750
ebriq	-0.010427	-0.004329
wuggd	-0.006732	-0.016512
capal	0.037740	0.015905
lxfpc	-0.002083	-0.002649
hwmpl	0.001330	-0.001478
jjdys	0.079253	0.150941
agsvj	0.029938	0.002829
nkklp	0.011501	0.010568
iprop	-0.001854	0.010192
qcgcb	0.001028	-0.000002
eniek	0.023216	-0.019979
ttxfw	-0.021549	0.012822
bhvkb	-0.012840	0.006753
prhia	-0.004890	0.012136
vpuxk	0.000114	0.032443
nuwro	0.014275	0.009117
jfwrs	0.007783	0.017012
xkktk	-0.036942	0.054156
nougg	0.021270	-0.089178
vqgcd	0.160573	-0.436668
bsole	0.009610	0.002695
mswmx	-0.022876	-0.015154
lbrxn	0.003021	-0.011096
dlsli	0.007414	-0.001685
iktii	0.009102	-0.010972
stlge	-0.006665	-0.004273
