Name	Lat	Lon
nyvlc	8.660306	4.744967
cfxdp	2.846455	3.762292
gokju	2.964057	0.375020
jllgx	1.992120	6.904385
hrdwd	9.492047	1.563009
emovo	7.084505	2.831980
bbymx	9.858630	9.281838
dufke	9.220814	3.991148
ntrnc	3.892336	4.225852
xlqmv	1.210002	8.495937
bwepc	8.410298	6.495413
yloxr	5.476603	1.878710
xuutf	0.108943	5.264480
ajsop	6.741988	0.999985
iajur	2.959343	2.593738
selon	6.262484	7.681101
rboft	3.080137	3.572504
ldqie	8.635389	7.866879
yhhrp	7.087011	4.979300
hvsix	7.565435	1.400462
tpltt	4.530277	2.261232
qtedj	1.218255	0.373726
vpswv	9.936242	5.213895
rrrrn	9.739880	8.411956
lhvyl	2.207015	8.163992
obfyl	4.416121	3.300078
awyoy	7.193446	1.738989
kdtlw	1.749203	0.253570
htfyp	6.453181	8.849673
mscdc	9.712158	8.617226
mwkto	3.588511	2.237377
ngcbk	2.804332	2.102267
ryngx	7.470511	2.415510
vkegi	2.869058	6.880042
rsngl	9.054568	0.264714
anocm	6.387146	0.118188
coykk	4.898248	8.764497
tksuv	3.570526	4.860092
nnpoo	1.966658	9.825190
upita	9.290245	3.616903
reieq	4.111427	1.146196
hebua	4.981434	0.757124
vrixc	6.136513	2.965201
exukd	8.301505	6.375814
mttyf	8.402835	3.393729
yjacm	4.369493	6.441029
omgog	3.014030	8.070626
arvpa	3.055972	6.808654
rdmfh	1.189206	1.714237
tiiwh	0.444290	6.985806
