
Name	VeloLon	VeloLat
qlpno	0.003097	-0.001256
adpaq	0.006339	0.029099
rqccp	-0.007278	0.016322
nccrs	0.011928	-0.011186
rbdpo	-0.011273	-0.002119
dcmlm	-0.001833	0.027393
hhecs	0.009757	0.012461
otdnr	-0.006574	0.019425
qttjd	-0.003228	0.001788
wgxxw	0.055051	0.003632
hevxa	0.017642	-0.033831
acqlx	-0.019658	-0.004306
ebiwy	0.028270	0.064144
hytqq	-0.042904	0.019526
ragpt	-0.031955	-0.006000
tvcqq	0.004155	-0.030103
bscri	-0.006993	-0.001895
cdmyo	-0.001843	0.072253
lggmm	-0.032389	0.023411
ripra	-0.006507	-0.011776
mxcwi	0.030465	0.013037
mbrvu	-0.006080	-0.019588
wtmsw	0.345907	0.662817
ibbtf	-0.017254	-0.001083
urwhn	0.088302	-0.051419
qvklq	-0.007511	0.023573
lsscs	-0.011140	-0.002526
udigw	0.019355	-0.044626
giysq	-0.015536	0.014062
uthas	0.018359	0.029495
xegim	-0.009021	0.038556
qddhn	-0.001743	0.029713
tsqvw	0.003937	-0.006562
pnvkr	0.242565	0.047238
mmjyj	0.021954	0.104319
ouqvu	-0.020400	0.000970
vflgj	-0.008154	0.017174
tybtw	-0.016499	-0.008459
jcqxq	-0.009577	0.012151
exkie	-0.017669	-0.005501
brudf	0.001266	0.001609
yhapo	0.006598	-0.039471
wbgps	0.059322	-0.042666
deigd	0.000464	-0.006117
uiwad	-0.003274	-0.018186
wneoj	0.003400	0.003766
xxyqy	-0.014626	-0.016991
sfeqs	0.188316	0.189278
fvcdn	-0.004943	0.011208
pyger	0.021031	0.036252
