Name	Lat	Lon
hifqt	5.775809	8.849633
mweyg	2.071522	4.021662
refrp	2.584113	6.068459
rderp	1.092799	1.184690
iueeb	4.366586	6.674265
wfevo	0.764252	9.209899
qifur	9.003862	4.777712
hcgex	9.282633	7.902022
kwwsi	6.919056	3.212764
xbkpp	8.945953	8.582076
iobpu	8.555568	4.629533
ckpyg	3.361806	3.438648
qfnxb	8.367054	1.867577
ouoal	5.420139	5.071424
mighe	1.392178	6.279014
akohe	0.033626	8.329865
ddeci	3.096233	5.153394
smibr	6.482382	8.387367
gthvw	8.145980	9.398355
evajy	8.770254	9.481095
pirpv	9.973657	1.652286
amwip	4.186603	7.258534
gnmti	1.885027	4.232872
leowv	3.729010	1.651320
qdtnu	7.111695	3.479331
wkxsl	4.224037	6.259548
lnqdw	6.512257	3.395401
bgvqo	9.112848	1.507057
kdfqq	5.806937	9.643946
uyvdr	9.910906	7.191046
iuejd	2.539301	2.597283
vxidl	8.010865	8.031654
qrskn	0.883730	8.604801
nddno	6.126137	2.843823
kntaw	0.421652	1.986697
rssif	1.500783	6.703249
maklu	1.039934	3.665201
aweql	9.676591	8.170981
fhfdh	2.275394	4.469702
uojmp	5.732695	2.548089
uyssi	6.034489	9.402394
lfwac	8.684730	1.662919
uniod	8.804159	4.251134
psgsa	4.712371	1.497276
ehgev	3.077068	0.812345
aahvu	7.304843	6.279366
nelsn	4.742438	2.498051
owxri	8.088753	6.155060
vnqqp	7.749040	7.673454
rbrwe	2.994661	8.114654
