
Name	VeloLon	VeloLat
wgroq	-0.289640	-0.383929
hihcm	0.029278	0.113019
vxgnl	0.083489	-0.154378
yijvo	0.001334	0.037586
asmup	0.048232	0.149936
ewbxh	0.218879	-0.010537
eigqq	-0.452360	-0.080163
mqntq	-8.481001	-4.718926
itgpx	0.138367	-0.384548
kuwgm	-0.271875	-0.123489
imqgd	0.674465	0.214296
xgfwa	-0.097509	0.235485
eqmug	0.005773	-0.160251
svloi	0.224389	0.141588
nhrpb	0.020045	0.177116
pvpml	0.118858	0.383246
oxmpp	-1.633351	1.626955
clmgw	0.223883	-0.186249
vvcfp	-0.219702	0.038803
qxefl	0.979323	1.271700
klbyh	0.059424	-0.275069
nksko	-0.032968	0.000105
pkmor	-0.009776	0.075658
kpyde	0.087950	0.117563
deyfx	0.184440	0.203269
dvgms	-0.148964	0.179781
sdcln	-0.137718	0.015756
wahob	-0.098938	0.143558
ncpcs	0.484751	-0.508601
cueld	-8.974384	0.023956
imtqa	-0.035649	0.078412
psxmr	0.286083	0.245949
jaeme	0.601983	-0.388158
qkemb	-0.020460	-0.009049
xkqgo	0.008324	-0.042068
pbqxi	0.014522	-0.048156
hdira	-0.380000	0.197806
fkcjd	-1.334674	2.714294
xiloj	0.010354	0.061741
kincq	0.019303	0.043387
srnrm	0.072183	-0.035472
aabuy	-0.081504	-0.029902
ixsnk	-0.124123	-0.320690
glrmd	-0.330825	-1.088425
voqih	-0.038617	-0.083327
vuusq	-0.262513	-0.214554
uynqx	-0.179160	-0.300973
erith	-0.476306	0.267780
qxewx	0.035822	0.299217
mgxlf	0.171568	0.129349
