
Name	VeloLon	VeloLat
txjsb	-2.713975	-5.469940
bbkau	-0.113276	-0.072604
dsqrk	0.324698	0.051630
rssdk	-0.243073	-0.055762
chala	-0.040016	0.141781
crhxh	-0.107546	0.083880
nnmrk	0.314781	0.276008
avbqc	-0.071380	0.025520
twvfb	0.112683	-0.021084
yeigx	-0.042230	0.010325
nlngb	-0.052312	0.048621
xssyh	-0.054448	0.083750
kkvwp	-0.031113	0.027763
lrusu	-0.018821	0.172309
eadkv	0.066058	-0.030839
unsst	0.010636	-0.000934
hnsbw	-0.009514	-0.032224
saipc	0.003562	0.008130
xcchg	0.002950	0.003277
cxjey	-0.022528	0.018855
igsww	0.407904	-0.241758
iicod	0.083051	-0.463042
xujlx	0.102481	2.193528
vhhvt	-0.496128	0.165308
ecxms	0.132801	0.031186
snpxs	0.015577	-0.020669
almsm	-0.007568	0.039329
fawew	-0.022847	0.004903
cwpmu	0.120802	0.327060
gumam	0.003997	0.083170
glfwh	0.363847	-1.981047
tdbnq	0.054459	-0.034497
vmtoy	-0.210065	0.178900
jqnoe	0.081410	-0.027238
hjfoe	-0.580246	-1.344627
afsmg	-0.428575	0.215508
msxff	-0.045973	0.107521
wqjvx	-0.107258	-0.040287
ftuhs	0.067244	-0.415394
kgpwl	-0.031929	0.097281
hcect	-0.037325	0.352937
qnyka	-0.241618	-0.195813
xhekm	0.013546	-0.018303
ckvfa	0.004115	-0.003584
gwwxb	-0.063284	0.082670
xrlbg	-0.011770	0.073393
hgoso	-0.199444	-0.309232
lvjul	-0.141015	-0.108726
vorbq	0.161325	-0.252552
ipelc	-0.088417	-0.030763
