
Name	VeloLon	VeloLat
dvbkb	-0.001719	0.000476
nbsxu	-0.065959	-0.267336
nqcsx	-0.058165	-0.006691
soqnx	0.077366	0.491373
phrmy	-0.015633	0.059780
nvsrv	-0.322426	0.316034
wnbsv	0.021427	0.010792
kwfam	-0.030520	0.036590
swddv	0.233470	0.228178
fsxeg	-0.058090	0.007700
nphea	0.141975	-0.037438
kysem	0.066313	-0.000887
wucyn	0.041211	0.095298
plhvh	0.028835	-0.029463
xcslq	-0.022621	0.037819
jltjk	-0.014860	-0.049458
tbqkc	-0.053588	0.020878
lbwnb	-0.010786	-0.023485
cuxjo	0.008110	-0.006639
xrhfe	0.276485	0.096310
kqmmx	0.360147	-0.079257
nrnht	0.028134	0.006180
ufljv	-0.044743	-0.000584
bsvdx	0.112322	-0.127336
pgbkf	0.176443	-0.069323
dluyb	0.145010	-0.026269
cqdov	-0.102252	-0.009982
mixpn	-0.015316	0.095256
qiidx	0.042256	0.166530
nkwsc	0.003625	0.039126
qbfbt	0.099228	-0.226783
xgvbn	0.038920	0.136275
rcffc	0.242984	-0.044269
kibxo	-0.080108	-0.098349
ekccb	0.023396	-0.028387
ndlbq	-0.105104	0.174597
svwpt	0.021748	0.057310
ppyuo	-0.150466	0.040049
edvtj	-0.020121	0.015657
ocatr	-0.009967	-0.073846
hlgsc	0.038068	0.039118
nunbq	-0.265165	-0.138757
swdvh	0.072448	0.102518
aqoaa	-0.040717	0.321664
ydiey	0.034351	-0.001365
jcfyn	0.006040	0.029208
wyhlx	-0.025477	0.004996
pdnah	0.037849	-0.026440
exxif	0.366637	-0.158328
inhcf	-0.031893	0.145611
