
Name	VeloLon	VeloLat
drmee	-0.005397	-0.014779
vhual	-0.004082	0.034340
utave	0.002315	0.020578
vqquh	-0.004185	0.005783
dmeda	-0.068539	-0.011162
qirfb	-0.060429	0.004928
kcpyh	2.382985	-1.125854
isqaq	0.025061	-0.044339
hwoou	0.077506	-0.009113
oofsw	0.109475	0.116882
cmsse	-0.013310	0.025002
jydrv	0.081859	-0.033806
hucwn	-0.002340	0.018821
patpq	-0.055486	-0.038082
xjhyt	0.093680	0.097593
gcaxy	0.552124	-2.108587
rtqpg	0.140143	-0.082059
emini	0.005940	-0.018625
npyjb	-0.014549	-0.005312
yfitr	-0.027599	0.040595
qneow	0.016735	-0.024147
wmqkt	0.009657	0.022430
otrto	-0.012986	-0.000989
crelt	0.033613	0.100014
cubxi	0.002613	0.059581
lcgby	-0.021185	-0.063406
jpcqd	0.579362	-0.300901
titco	-0.068832	0.123676
dcrcx	0.182593	-0.084997
bggec	-0.044507	0.006544
nuxgr	-0.019171	-0.017951
qyuti	0.140896	-0.208179
gypkf	0.046424	0.015168
uywrc	-0.053728	0.005992
arobk	0.058069	-0.007155
rohsk	-0.045276	-0.035930
tprgs	0.031542	0.030213
xrmgs	0.000728	-0.012884
bdlru	-0.034656	-0.023378
ivvkp	-0.072935	-0.538519
mqgmd	-0.018764	0.011795
fbnqe	-0.008565	-0.012298
fethl	-0.024675	0.017523
ilwod	0.064893	-0.013364
ggfnh	0.011309	-0.000732
jeheb	0.003974	0.087030
bjnhr	0.866595	-0.344802
plhxh	0.204445	-0.377747
loudj	-0.034894	-0.044858
qngxx	0.007275	0.003483
