Name	Lat	Lon
aoakj	2.214650	3.267818
nmbbe	7.198161	1.621777
odyjp	6.861973	9.494072
gbaos	1.895381	9.171886
xeyec	9.871484	5.670249
gcuxk	9.862506	0.038071
xddmt	0.784083	9.145046
voawi	9.548588	8.084700
wtqau	8.919448	3.126014
vooge	2.869049	9.161830
dqtgf	9.059879	0.113587
xtrus	9.853099	9.379416
uadst	6.796360	1.029142
wdchv	4.692843	6.428553
aogxg	3.046837	2.611593
nhpdg	9.360100	8.191787
vldei	6.523973	5.205362
ltqwo	6.470701	8.412951
tpfdc	7.484537	3.070595
cxcdx	7.577898	2.619598
jnjbu	6.821759	1.739562
vpjjw	7.640780	3.302055
kwprl	8.019335	8.587970
cunno	5.880810	0.966614
cgaxg	1.198827	8.766657
ketes	2.400144	8.690569
ouueo	4.277912	9.213083
owryc	3.510956	8.873297
ckprt	3.872835	8.630563
ursat	9.657331	0.734792
nnlhs	2.843465	0.758782
llulp	6.195634	0.121747
wqokg	0.322037	0.018464
ubrhx	8.177450	2.476241
oocxv	3.160200	8.410374
iaojk	8.079936	3.474033
ckpeu	6.307439	9.481544
nbuai	5.679197	9.119157
qafsa	5.674593	0.268083
nkoev	8.202673	2.877266
ektkf	0.132651	2.316900
jjdfx	8.787422	9.472767
vlhqi	5.400611	0.196668
npkwd	2.739887	8.066445
ognsn	9.527184	9.278249
txehx	4.249397	3.382177
irmok	9.778608	9.607888
tnhsd	6.495204	9.057922
oenpi	9.034769	4.897902
nwuoi	7.671774	7.364055
