
Name	VeloLon	VeloLat
jmofj	-0.088528	-0.093539
djmce	0.033199	0.311768
ybhkd	0.112591	-0.078743
hwxyg	0.007576	0.034962
leqfb	0.073835	-0.165511
rdgry	-0.016997	-0.003414
hdrkf	-0.014132	0.308284
gpbgs	0.103732	-0.294529
ytxup	-0.017212	0.003174
cdebp	0.212667	-0.028835
dxneh	-0.213688	-0.097108
kdrdu	0.084191	-0.016131
hkjuu	0.175134	-0.065760
bwlki	1.431919	-0.562908
tqvyb	-0.000790	0.020835
cfqqt	0.100102	0.201450
iyxnn	0.107226	0.025063
hufuq	-0.044661	0.007503
xfxch	-0.116109	0.094668
xraed	0.106444	-0.081841
lbdtv	-0.096442	-0.092527
bvucn	-0.014481	0.030490
kkrpj	-0.328549	-0.216676
hgcxs	0.032623	-0.105991
kkdvs	0.000170	0.030234
xfcfb	-0.175229	-0.718921
qalax	0.021473	-0.032657
yfvks	-0.311394	-0.309762
nyilw	0.017696	-0.124298
fedpm	0.143682	0.102062
xdlof	0.172345	-0.432404
sopyj	-0.006772	-0.002690
vjdbj	-0.066369	0.188835
sscqi	0.017202	-0.000651
lpvlp	0.025113	-0.016334
vuhux	-0.156486	0.023299
inooj	-0.024497	-0.018001
jdnvy	-0.007453	0.012547
pjgfn	0.024250	0.010334
rdyec	-0.027813	-0.149652
etyek	0.011725	0.025046
gqovo	0.246025	0.119135
qbgfd	-0.091762	-0.144409
osdrd	0.020946	0.022127
hmyyl	-0.055476	0.103959
ilxif	-0.067821	-0.078410
xkchq	0.010114	0.039637
bxlxv	0.012526	-0.008411
wqtww	0.001361	-0.012695
nuxfl	-0.194581	0.210734
