
Name	VeloLon	VeloLat
ivlmo	0.093419	0.048223
urtyt	0.071037	0.022436
ibgbj	-0.070899	0.080890
babij	0.003289	-0.004985
lbvdb	0.003746	0.013598
vsqif	0.014840	0.007381
nslel	0.017849	-0.010163
thffw	-0.008500	0.039932
dwkiy	0.251569	-1.267738
onstp	-0.005853	-0.027505
suhwm	0.006196	-0.013344
gtqpn	-0.022222	0.029792
kuwxx	-0.088975	-0.022837
uvlfl	-0.001330	0.010124
dmbre	0.159602	-0.178956
bupyk	-0.424275	-0.109914
sbbjm	-0.007395	-0.046035
lqtxe	-0.009724	-0.004193
cbpyq	0.004015	0.024984
piofp	0.006481	0.066454
ndkdv	-0.078163	-0.020695
csvfo	-0.058491	-0.040521
wkcrv	-0.010630	-0.037385
xtiks	0.036010	0.032499
ctlgi	-0.232918	0.804753
kuakr	0.119648	0.023162
ptbav	0.808809	-0.884803
asvyf	0.089227	0.021871
kptbi	0.012908	-0.007687
ldxxc	0.080849	0.182062
dnuks	-0.027926	-0.012092
sgyby	0.002251	-0.013157
ryxea	0.003787	0.009434
djeca	-0.140275	-0.215534
jajsu	-0.016991	-0.021203
iilod	-0.015243	-0.000519
kfxlc	0.189632	-0.387094
rlhuq	0.008290	0.002088
vispy	0.088327	0.007955
gvpiv	0.000703	-0.022546
buvwj	-0.006698	-0.061874
vxsxw	-0.025859	0.038364
hhhlr	0.037917	0.020512
chgfa	0.055894	0.008000
elpaq	0.027678	0.018340
eseno	-0.016784	-0.021815
hhfoc	0.016417	0.003052
ukrgc	-0.061095	0.066625
jcftu	0.004603	-0.019985
pxumu	0.075684	0.002674
