Name	Lat	Lon
crcdu	7.443611	8.359460
xjeye	0.491798	4.778395
cfomh	4.554817	5.644348
xstch	9.308492	2.808908
ufrhm	3.385863	7.823727
dreng	3.784876	6.204188
wknmj	6.886249	2.405955
wmnys	0.850345	7.189317
swtug	9.081139	1.743862
ubdpo	8.015595	6.707801
kxtsh	6.696587	8.112495
seiki	9.883841	9.531736
tqexq	5.847600	7.713206
xdnnn	4.216213	0.607141
sdtxf	9.435152	1.887275
txvyi	4.629611	6.601097
rmtho	8.617637	9.872590
nepqf	3.511777	6.625425
ymorp	1.523299	2.437765
dnjyv	5.633569	2.088156
bhplk	8.450393	3.391352
gvryj	2.540486	5.763226
epncd	6.182127	7.944677
fputk	7.346889	3.006328
nljau	4.931871	9.164332
txltq	9.864016	9.955963
olfsy	7.370570	4.513439
skkyn	8.086205	7.176063
ivlfg	3.226012	4.849362
csmqg	4.962306	9.580827
hixpd	2.612781	1.483466
vhgxk	6.081520	3.013392
jgfbs	8.835424	2.102031
lhmgl	4.899520	6.972386
olvvj	5.947622	6.225141
cgcch	1.788793	1.682144
tyqjn	1.593818	4.242970
qcmjw	3.324712	7.303107
yndoy	4.424205	8.429489
orogy	0.502294	7.616499
fqdlo	6.014592	2.054859
yqdme	6.366616	7.242004
btmjj	9.494067	3.721633
rmsua	4.301388	6.787309
mnkli	0.147990	3.420607
tkmwq	1.167434	7.272039
tmycr	2.775647	1.056868
jichy	1.114472	0.296371
hrupf	7.893825	0.938769
dqqhj	9.343895	1.510046
