"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"228","AY646354_Hs_2002_VelocLon",233.936815073096,6.99093294711217,6.28012928799323,0.35143083,12.23058,33.4693,1e+07,5.5
"229","AY712945_Zm_2003_VelocLat",403.717490729407,12.0595928358882,-2.89002759935347,-5.757653,0.014224165,33.4693,1e+07,5.5
"230","AY712945_Zm_2003_VelocLon",455.415493176694,13.6048236481088,1.48116475659023,-4.873685,7.834121,33.4693,1e+07,5.5
"231","AY712946_Cc_2003_VelocLat",403.717490729407,12.0595928358882,-2.89002759935347,-5.757653,0.014224165,33.4693,1e+07,5.5
"232","AY712946_Cc_2003_VelocLon",455.415493176694,13.6048236481088,1.48116475659023,-4.873685,7.834121,33.4693,1e+07,5.5
"233","AY712947_Cc_2003_VelocLat",512.375977479384,15.3117691159536,-2.64482497535683,-5.762399,0.5757204,33.4693,1e+07,5.5
"234","AY712947_Cc_2003_VelocLon",593.790786901331,17.7433342282512,-0.321679896370699,-7.621355,6.741306,33.4693,1e+07,5.5
"235","AY712948_Cq_2003_VelocLat",535.436002547523,16.0000378630634,-2.8728391739545,-5.4269,-0.3645541,33.4693,1e+07,5.5
"236","AY712948_Cq_2003_VelocLon",585.903277281066,17.5072837456354,-4.3204025909525,-10.056733,1.537874,33.4693,1e+07,5.5
"237","AY795965_Hs_2002_VelocLat",217.161197612157,6.49234972635878,3.09209927657148,0.4813075,5.963167,33.4693,1e+07,5.5
"238","AY795965_Hs_2002_VelocLon",293.884346637468,8.7827067996909,-0.426601047628857,-6.507529,5.66252,33.4693,1e+07,5.5
"239","clockRate",901,26.9206325980614,4e-04,4e-04,4e-04,33.4693,1e+07,5.5
"240","displacement",131.577006113625,3.93167213999758,329.282048057714,296.7116,366.8541,33.4693,1e+07,5.5
"241","DQ005530_Hs_2003_VelocLat",283.308149857335,8.46504274932072,1.73063957385893,-1.285568,4.723182,33.4693,1e+07,5.5
"242","DQ005530_Hs_2003_VelocLon",341.543644167684,10.2101573400534,-7.50459053875139,-14.02209,-0.76515627,33.4693,1e+07,5.5
"243","DQ080051_Ct_2003_VelocLat",347.744571150988,10.3923217096814,-3.75481843772475,-5.898926,-1.73762,33.4693,1e+07,5.5
"244","DQ080051_Ct_2003_VelocLon",414.039629459347,12.3708124248368,-2.55788042397891,-7.161044,1.923598,33.4693,1e+07,5.5
"245","DQ080052_Ct_2003_VelocLat",320.990100368395,9.59072960018116,-1.95650426937625,-4.023535,0.16015577,33.4693,1e+07,5.5
"246","DQ080052_Ct_2003_VelocLon",381.767599125608,11.4071736689204,-7.34245774976693,-12.06001,-2.749279,33.4693,1e+07,5.5
"247","DQ080053_Ct_2003_VelocLat",324.776963313438,9.70645744539537,2.01730376369734,-0.14376332,4.197591,33.4693,1e+07,5.5
