"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"sample","sample",2.50805292070193,0.0744030650776329,5500000,1e+06,9550000,33.709,10000000,1
"lnPost","lnPost",330.912522666853,9.816741008836,-25532.2867924528,-25580.08,-25484.63,33.709,10000000,1
"lnLAlgn","lnLAlgn",6.508557558023,0.193080707170874,-23914.83,-23914.83,-23914.83,33.709,10000000,1
"lnLSpac","lnLSpac",330.871757883582,9.81553169431256,-1095.28001109878,-1142.84,-1048.04,33.709,10000000,1
"lnLVeloc","lnLVeloc",360.093409255398,10.6824115000563,-1098.55269700333,-1148.63,-1049.84,33.709,10000000,1
"lnLRate","lnLRate",NA,NA,0,0,0,33.709,10000000,1
"lnLTime","lnLTime",901,26.7287667981845,-516.14,-516.14,-516.14,33.709,10000000,1
"lnPSpac","lnPSpac",401.212853151853,11.902247267847,-6.02933064705882,-6.411646,-5.70316,33.709,10000000,1
"lnPRate","lnPRate",NA,NA,0,0,0,33.709,10000000,1
"lnPTime","lnPTime",NA,NA,0,0,0,33.709,10000000,1
"substRate","substRate",901,26.7287667981845,4e-04,4e-04,4e-04,33.709,10000000,1
"clockRate","clockRate",901,26.7287667981845,4e-04,4e-04,4e-04,33.709,10000000,1
"sigSqLon","sigSqLon",395.595324089986,11.7355995161525,11.8816487791343,8.64632,15.5577,33.709,10000000,1
"sigSqLat","sigSqLat",235.44130149218,6.98452346531133,2.35995561598224,1.55658,3.00847,33.709,10000000,1
"nEff","nEff",NA,NA,100,100,100,33.709,10000000,1
"growth","growth",901,26.7287667981845,1e-06,1e-06,1e-06,33.709,10000000,1
"speed","speed",136.430794596257,4.04731064689718,332.461912319645,298.747,371.687,33.709,10000000,1
"displacement","displacement",136.430794596257,4.04731064689718,332.461912319645,298.747,371.687,33.709,10000000,1
"speedfromveloc","speedfromveloc",173.245369599464,5.13943960365078,519.219253052164,459.245,586.07,33.709,10000000,1
"obsVarLon","obsVarLon",901,26.7287667981845,1e-04,1e-04,1e-04,33.709,10000000,1
"obsVarLat","obsVarLat",901,26.7287667981845,1e-04,1e-04,1e-04,33.709,10000000,1
"rootTime","rootTime",2.64561605051473,0.078483967205041,1995.39,1995.39,1995.39,33.709,10000000,1
"rootLon","rootLon",231.858521273601,6.87823789710762,-70.711344173141,-85.6212,-55.6605,33.709,10000000,1
"rootLat","rootLat",152.369123394091,4.52013181625356,39.9314950055494,32.2868,46.718,33.709,10000000,1
"nu","nu",38.8346879200267,1.15205695570995,0.1,0.1,0.1,33.709,10000000,1
"rrNormFact","rrNormFact",NA,NA,1,1,1,33.709,10000000,1
"rrRateMult","rrRateMult",NA,NA,1,1,1,33.709,10000000,1
"rrwNormFact","rrwNormFact",NA,NA,1,1,1,33.709,10000000,1
"accNarrowExchange","accNarrowExchange",NA,NA,0,0,0,33.709,10000000,1
"accWideExchange","accWideExchange",NA,NA,0,0,0,33.709,10000000,1
"accMoveRootTime","accMoveRootTime",NA,NA,0,0,0,33.709,10000000,1
"accMoveScaleTime","accMoveScaleTime",NA,NA,0,0,0,33.709,10000000,1
"accNodeTimes","accNodeTimes",NA,NA,0,0,0,33.709,10000000,1
"accRatesShrink","accRatesShrink",NA,NA,0,0,0,33.709,10000000,1
"accSigsq","accSigsq",109.328403622087,3.24330011635133,0.254272185349612,0.178218,0.336634,33.709,10000000,1
"accSigsqScale","accSigsqScale",NA,NA,0,0,0,33.709,10000000,1
"accVeloc","accVeloc",831.256251707922,24.6597719216803,0.515063770255272,0.468599,0.57971,33.709,10000000,1
"tuneRatesShrink","tuneRatesShrink",NA,NA,1,1,1,33.709,10000000,1
"tuneVeloc","tuneVeloc",NA,NA,1e+06,1e+06,1e+06,33.709,10000000,1
"sigSqSonLeft","sigSqSonLeft",NA,NA,1,1,1,33.709,10000000,1
"sigSqSonRght","sigSqSonRght",NA,NA,1,1,1,33.709,10000000,1
"rrSonLeft","rrSonLeft",NA,NA,1,1,1,33.709,10000000,1
