"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"174","anc_VelocLon.47",344.56311895878,0.033581477468206,-7.82885758884692,-12.0476,-3.14889,10260.511,5e+07,1
"175","anc_VelocLon.48",747.221101761734,0.0728249403720471,-0.0479031677405021,-3.63273,3.5352,10260.511,5e+07,1
"176","anc_VelocLon.49",23.1041528504197,0.00225175460076206,-2.65036507813664,-7.08473,2.15069,10260.511,5e+07,1
"177","anc_VelocLon.5",3597.67636909808,0.350633254922496,0.595894636304821,-2.53671,4.18287,10260.511,5e+07,1
"178","anc_VelocLon.50",187.419937521234,0.0182661406942826,-2.6954016595401,-5.91247,0.430303,10260.511,5e+07,1
"179","anc_VelocLon.51",20.4545416775896,0.00199352075911127,0.778677977045102,-6.34772,7.21569,10260.511,5e+07,1
"180","anc_VelocLon.52",30.5315295696922,0.00297563440745711,-7.56663510119973,-13.3057,-0.969032,10260.511,5e+07,1
"181","anc_VelocLon.53",1271.76150874889,0.123947190227552,-2.13078554927349,-5.54666,1.67163,10260.511,5e+07,1
"182","anc_VelocLon.54",24.6971738366081,0.00240701207148533,0.544337828028438,-6.82273,7.45185,10260.511,5e+07,1
"183","anc_VelocLon.55",61.8717632830401,0.00603008595605424,-1.18129688435814,-8.79809,6.62311,10260.511,5e+07,1
"184","anc_VelocLon.56",128.587822062506,0.012532301954796,-3.52598710345701,-10.0763,2.40179,10260.511,5e+07,1
"185","anc_VelocLon.57",437.795065006489,0.0426679592280042,-7.96786961141968,-11.9791,-3.85812,10260.511,5e+07,1
"186","anc_VelocLon.58",43.4825080183859,0.00423785014395344,-3.37677561564097,-8.16427,1.62223,10260.511,5e+07,1
"187","anc_VelocLon.59",449.351172089106,0.0437942293604194,-1.92541024578538,-5.55094,1.67588,10260.511,5e+07,1
"188","anc_VelocLon.6",1011.67282564098,0.0985986785298493,-7.37228777382804,-10.799,-4.06065,10260.511,5e+07,1
"189","anc_VelocLon.60",53.3757052491678,0.00520205136461213,-3.62714997385692,-8.56676,0.613605,10260.511,5e+07,1
"190","anc_VelocLon.61",343.307683903528,0.0334591214709997,-7.75052810131082,-11.7286,-3.6988,10260.511,5e+07,1
"191","anc_VelocLon.62",637.976502472623,0.0621778488880937,-5.718791617485,-9.32515,-1.82263,10260.511,5e+07,1
"192","anc_VelocLon.63",22.8729624129522,0.00222922254193307,-3.64574421040213,-8.69054,0.624385,10260.511,5e+07,1
"193","anc_VelocLon.64",37.3996665523461,0.00364501013179033,-2.16051046319929,-7.56877,3.47292,10260.511,5e+07,1
"194","anc_VelocLon.65",199.996936936708,0.0194919080479235,-10.9051727305043,-14.8207,-6.80086,10260.511,5e+07,1
"195","anc_VelocLon.66",1021.61853945952,0.0995679980713945,-2.25437666761164,-7.00263,2.4555,10260.511,5e+07,1
"196","anc_VelocLon.67",143.493750079216,0.0139850490954316,-7.69722469940013,-11.6779,-3.85904,10260.511,5e+07,1
"197","anc_VelocLon.68",54.595527195903,0.00532093647147818,-2.44428253182848,-7.50049,2.97408,10260.511,5e+07,1
"198","anc_VelocLon.69",190.696590307787,0.0185854866592694,-9.8476732659409,-13.6757,-5.83848,10260.511,5e+07,1
"199","anc_VelocLon.7",159.105839557422,0.015506619461489,-13.5576475494335,-17.6624,-9.04507,10260.511,5e+07,1
"200","anc_VelocLon.70",692.666888813386,0.0675080304298086,-2.86175616537436,-6.97606,1.49539,10260.511,5e+07,1
"201","anc_VelocLon.71",122.547982066224,0.0119436529102911,-13.0225205132193,-16.7702,-9.30692,10260.511,5e+07,1
"202","anc_VelocLon.72",846.476415540789,0.0824984657723957,-4.75103536514997,-8.67413,-0.690555,10260.511,5e+07,1
"203","anc_VelocLon.73",21.8536708282996,0.00212988133128063,0.512290912355032,-6.59045,7.59849,10260.511,5e+07,1
"204","anc_VelocLon.74",1217.39862278176,0.118648927210522,-2.28659748678805,-6.547,1.93632,10260.511,5e+07,1
"205","anc_VelocLon.75",145.381931166977,0.0141690731745209,-0.884701482371806,-4.74914,3.26638,10260.511,5e+07,1
"206","anc_VelocLon.76",207.998415750252,0.0202717404377084,-0.67988949633948,-4.97534,3.04388,10260.511,5e+07,1
"207","anc_VelocLon.77",556.296060035138,0.0542171886015363,-1.91611855116419,-5.51735,1.65973,10260.511,5e+07,1
"208","anc_VelocLon.78",302.442263468528,0.0294763353860766,-1.93507984304643,-5.95159,1.49069,10260.511,5e+07,1
"209","anc_VelocLon.79",345.109904828125,0.0336347677838,-1.34982855779382,-5.1015,2.77173,10260.511,5e+07,1
"210","anc_VelocLon.8",364.384554167453,0.0355132950169298,-1.286981989393,-5.27275,2.51185,10260.511,5e+07,1
"211","anc_VelocLon.80",41.750378449607,0.00406903500708756,-2.94047696836259,-8.13978,1.85321,10260.511,5e+07,1
